ID,Imported table,Title (from Imported table),DOI (from Imported table),Mosquito species,Mosquito subsp,Mosquito origin (country),Virus,Virus strain,DENV serotype,Notes,Attachments,Status
491,"""Vega-Rua, A; Zouache, K; Caro, V; Diancourt, L; Delaunay, P; Grandadam, M; Failloux, AB""",High Efficiency of Temperate Aedes albopictus to Transmit Chikungunya and Dengue Viruses in the Southeast of France,10.1371/journal.pone.0059716,Aedes albopictus,,France,Chikungunya virus,2010–1630,,,,
492,"""Vega-Rua, A; Zouache, K; Caro, V; Diancourt, L; Delaunay, P; Grandadam, M; Failloux, AB""",High Efficiency of Temperate Aedes albopictus to Transmit Chikungunya and Dengue Viruses in the Southeast of France,10.1371/journal.pone.0059716,Aedes aegypti,,France,Chikungunya virus,2010–1630,,,,
503,"""Vega-Rua, A; Zouache, K; Caro, V; Diancourt, L; Delaunay, P; Grandadam, M; Failloux, AB""",High Efficiency of Temperate Aedes albopictus to Transmit Chikungunya and Dengue Viruses in the Southeast of France,10.1371/journal.pone.0059716,Aedes albopictus,,France,Chikungunya virus,2010–1909,,,,
504,"""Vega-Rua, A; Zouache, K; Caro, V; Diancourt, L; Delaunay, P; Grandadam, M; Failloux, AB""",High Efficiency of Temperate Aedes albopictus to Transmit Chikungunya and Dengue Viruses in the Southeast of France,10.1371/journal.pone.0059716,Aedes albopictus,,France,Dengue virus,DENV-1 (2010–1806),DENV-1,,,
505,"""Vega-Rua, A; Zouache, K; Caro, V; Diancourt, L; Delaunay, P; Grandadam, M; Failloux, AB""",High Efficiency of Temperate Aedes albopictus to Transmit Chikungunya and Dengue Viruses in the Southeast of France,10.1371/journal.pone.0059716,Aedes albopictus,,France,Dengue virus,DENV-1 (2010–2025),DENV-1,,,
506,"""Vega-Rua, A; Zouache, K; Caro, V; Diancourt, L; Delaunay, P; Grandadam, M; Failloux, AB""",High Efficiency of Temperate Aedes albopictus to Transmit Chikungunya and Dengue Viruses in the Southeast of France,10.1371/journal.pone.0059716,Aedes aegypti,,France,Chikungunya virus,2010–1909,,,,
507,"""Vega-Rua, A; Zouache, K; Caro, V; Diancourt, L; Delaunay, P; Grandadam, M; Failloux, AB""",High Efficiency of Temperate Aedes albopictus to Transmit Chikungunya and Dengue Viruses in the Southeast of France,10.1371/journal.pone.0059716,Aedes aegypti,,France,Dengue virus,DENV-1 (2010–1806),DENV-1,,,
508,"""Vega-Rua, A; Zouache, K; Caro, V; Diancourt, L; Delaunay, P; Grandadam, M; Failloux, AB""",High Efficiency of Temperate Aedes albopictus to Transmit Chikungunya and Dengue Viruses in the Southeast of France,10.1371/journal.pone.0059716,Aedes aegypti,,France,Dengue virus,DENV-1 (2010–2025),DENV-1,,,
603,"""Moutailler, S; Barre, H; Vazeille, M; Failloux, AB""",Recently introduced Aedes albopictus in Corsica is competent to Chikungunya virus and in a lesser extent to dengue virus,10.1111/j.1365-3156.2009.02320.x,Aedes albopictus,,France,Dengue virus,DENV-2,DENV-2,,,
604,"""Moutailler, S; Barre, H; Vazeille, M; Failloux, AB""",Recently introduced Aedes albopictus in Corsica is competent to Chikungunya virus and in a lesser extent to dengue virus,10.1111/j.1365-3156.2009.02320.x,Aedes albopictus,,France,Chikungunya virus,La Réunion 2005,,,,
628,"""Balenghien, T; Vazeille, M; Grandadam, M; Schaffner, F; Zeller, H; Reiter, P; Sabatier, P; Fouque, F; Bicout, DJ""",Vector Competence of Some French Culex and Aedes Mosquitoes for West Nile Virus,10.1089/vbz.2007.0266,Culex pipiens,pipiens,France,West Nile virus,AY268132,,,,
629,"""Balenghien, T; Vazeille, M; Grandadam, M; Schaffner, F; Zeller, H; Reiter, P; Sabatier, P; Fouque, F; Bicout, DJ""",Vector Competence of Some French Culex and Aedes Mosquitoes for West Nile Virus,10.1089/vbz.2007.0266,Culex modestus,,France,West Nile virus,AY268132,,,,
630,"""Balenghien, T; Vazeille, M; Grandadam, M; Schaffner, F; Zeller, H; Reiter, P; Sabatier, P; Fouque, F; Bicout, DJ""",Vector Competence of Some French Culex and Aedes Mosquitoes for West Nile Virus,10.1089/vbz.2007.0266,Aedes caspius,,France,West Nile virus,AY268132,,,,
662,"""Vazeille, M; Jeannin, C; Martin, E; Schaffnerbl, F; Failloux, AB""",Chikungunya: A risk for Mediterranean countries?,10.1016/j.actatropica.2007.09.009,Aedes albopictus,,France,Chikungunya virus,CHIKV 06.21,,,,
663,"""Vazeille, M; Jeannin, C; Martin, E; Schaffnerbl, F; Failloux, AB""",Chikungunya: A risk for Mediterranean countries?,10.1016/j.actatropica.2007.09.009,Aedes caspius,,France,Chikungunya virus,CHIKV 06.21,,,,
664,"""Vazeille, M; Jeannin, C; Martin, E; Schaffnerbl, F; Failloux, AB""",Chikungunya: A risk for Mediterranean countries?,10.1016/j.actatropica.2007.09.009,Aedes detritus,,France,Chikungunya virus,CHIKV 06.21,,,,
665,"""Vazeille, M; Jeannin, C; Martin, E; Schaffnerbl, F; Failloux, AB""",Chikungunya: A risk for Mediterranean countries?,10.1016/j.actatropica.2007.09.009,Aedes vexans,,France,Chikungunya virus,CHIKV 06.21,,,,
666,"""Vazeille, M; Jeannin, C; Martin, E; Schaffnerbl, F; Failloux, AB""",Chikungunya: A risk for Mediterranean countries?,10.1016/j.actatropica.2007.09.009,Culex pipiens,,France,Chikungunya virus,CHIKV 06.21,,,,
734,"""Balenghien, T; Vazeille, M; Reiter, P; Schaffner, F; Zeller, H; Bicout, DJ""",Evidence of laboratory vector competence of Culex modestus for West Nile virus,10.2987/8756-971X(2007)23[233:EOLVCO]2.0.CO;2,Culex modestus,,France,West Nile virus,Lineage 1 (AY268132),,,,
20,"""de Lataillade, LD; Vazeille, M; Obadia, T; Madec, Y; Mousson, L; Kamgang, B; Chen, CH; Failloux, AB; Yen, PS""",Risk of yellow fever virus transmission in the Asia-Pacific region,10.1038/s41467-020-19625-9,Aedes aegypti,,Fr. Polynesia,Yellow fever virus,,,,,
165,"""Moltini-Conclois, I; Stalinski, R; Tetreau, G; Despres, L; Lambrechts, L""",Larval Exposure to the Bacterial Insecticide Bti Enhances Dengue Virus Susceptibility of Adult Aedes aegypti Mosquitoes,10.3390/insects9040193,Aedes aegypti,,Fr. Polynesia,Dengue virus,DENV-1 (KDH0030A),DENV-1,,,
166,"""Moltini-Conclois, I; Stalinski, R; Tetreau, G; Despres, L; Lambrechts, L""",Larval Exposure to the Bacterial Insecticide Bti Enhances Dengue Virus Susceptibility of Adult Aedes aegypti Mosquitoes,10.3390/insects9040193,Aedes aegypti,,Fr. Polynesia,Chikungunya virus,CHIKV 06.21,,,,
202,"""Delang, L; Yen, PS; Vallet, T; Vazeille, M; Vignuzzi, M; Failloux, AB""",Differential Transmission of Antiviral Drug-Resistant Chikungunya Viruses by Aedes Mosquitoes,10.1128/mSphere.00230-18,Aedes aegypti,,Fr. Polynesia,Chikungunya virus,Indian Ocean strain 899,,,,
205,"""Ali, SM; Vega-Rua, A; Driouich, JS; de Lamballerie, X; Failloux, AB; Nougairede, A""",Comparison of chikungunya viruses generated using infectious clone or the Infectious Subgenomic Amplicons (ISA) method in Aedes mosquitoes,10.1371/journal.pone.0199494,Aedes aegypti,,Fr. Polynesia,Chikungunya virus,LR2006 strain,,,,
336,"""Richard, V; Paoaafaite, T; Cao-Lormeau, VM""",Vector Competence of French Polynesian Aedes aegypti and Aedes polynesiensis for Zika Virus,10.1371/journal.pntd.0005024,Aedes aegypti,,Fr. Polynesia,Zika virus,Asian lineage (PF13/251013-18),,,,
337,"""Richard, V; Paoaafaite, T; Cao-Lormeau, VM""",Vector Competence of French Polynesian Aedes aegypti and Aedes polynesiensis for Zika Virus,10.1371/journal.pntd.0005024,Aedes polynesiensis,,Fr. Polynesia,Zika virus,Asian lineage (PF13/251013-18),,,,
343,"""Vazeille, M; Gaborit, P; Mousson, L; Girod, R; Failloux, AB""",Competitive advantage of a dengue 4 virus when co-infecting the mosquito Aedes aegypti with a dengue 1 virus,10.1186/s12879-016-1666-0,Aedes aegypti,,Fr. Polynesia,Dengue virus,DENV-1,DENV-1,,,
344,"""Vazeille, M; Gaborit, P; Mousson, L; Girod, R; Failloux, AB""",Competitive advantage of a dengue 4 virus when co-infecting the mosquito Aedes aegypti with a dengue 1 virus,10.1186/s12879-016-1666-0,Aedes aegypti,,Fr. Polynesia,Dengue virus,DENV-4,DENV-4,,,
356,"""Richard, V; Paoaafaite, T; Cao-Lormeau, V""",Vector Competence of Aedes aegypti and Aedes polynesiensis Populations from French Polynesia for Chikungunya Virus,10.1371/journal.pntd.0004694,Aedes aegypti,,Fr. Polynesia,Chikungunya virus,PF14/300914-109,,,,
357,"""Richard, V; Paoaafaite, T; Cao-Lormeau, V""",Vector Competence of Aedes aegypti and Aedes polynesiensis Populations from French Polynesia for Chikungunya Virus,10.1371/journal.pntd.0004694,Aedes polynesiensis,,Fr. Polynesia,Chikungunya virus,PF14/300914-109,,,,
594,"""Paupy, C; Ollomo, B; Kamgang, B; Moutailler, S; Rousset, D; Demanou, M; Herve, JP; Leroy, E; Simard, F""",Comparative Role of Aedes albopictus and Aedes aegypti in the Emergence of Dengue and Chikungunya in Central Africa,10.1089/vbz.2009.0005,Aedes aegypti,,Fr. Polynesia,Dengue virus,DENV-2 (D2S32),DENV-2,,,
868,"""Vazeille, M; Rosen, L; Mousson, L; Failloux, AB""",Low oral receptivity for dengue type 2 viruses of Aedes albopictus from southeast Asia compared with that of Aedes aegypti,10.4269/ajtmh.2003.68.203,Aedes aegypti,,Fr. Polynesia,Dengue virus,DENV-2 (Bangkok virus strain),DENV-2,,,
870,"""Vazeille, M; Rosen, L; Mousson, L; Failloux, AB""",Low oral receptivity for dengue type 2 viruses of Aedes albopictus from southeast Asia compared with that of Aedes aegypti,10.4269/ajtmh.2003.68.203,Aedes aegypti,,Fr. Polynesia,Dengue virus,DENV-2 (Seychelles virus),DENV-2,,,
872,"""Vazeille, M; Rosen, L; Mousson, L; Failloux, AB""",Low oral receptivity for dengue type 2 viruses of Aedes albopictus from southeast Asia compared with that of Aedes aegypti,10.4269/ajtmh.2003.68.203,Aedes aegypti,,Fr. Polynesia,Dengue virus,DENV-2 (Cambodia strain),DENV-2,,,
631,"""Vazeille, M; Moutailler, S; Pages, F; Jarjaval, F; Failloux, AB""",Introduction of Aedes albopictus in Gabon: what consequences for dengue and chikungunya transmission?,10.1111/j.1365-3156.2008.02123.x,Aedes albopictus,,Gabon,Dengue virus,DENV-2,DENV-2,,,
632,"""Vazeille, M; Moutailler, S; Pages, F; Jarjaval, F; Failloux, AB""",Introduction of Aedes albopictus in Gabon: what consequences for dengue and chikungunya transmission?,10.1111/j.1365-3156.2008.02123.x,Aedes aegypti,formosus,Gabon,Dengue virus,DENV-2,DENV-2,,,
633,"""Vazeille, M; Moutailler, S; Pages, F; Jarjaval, F; Failloux, AB""",Introduction of Aedes albopictus in Gabon: what consequences for dengue and chikungunya transmission?,10.1111/j.1365-3156.2008.02123.x,Aedes albopictus,,Gabon,Chikungunya virus,strain 06.21,,,,
634,"""Vazeille, M; Moutailler, S; Pages, F; Jarjaval, F; Failloux, AB""",Introduction of Aedes albopictus in Gabon: what consequences for dengue and chikungunya transmission?,10.1111/j.1365-3156.2008.02123.x,Aedes aegypti,formosus,Gabon,Chikungunya virus,strain 06.21,,,,
2,"""Holicki, CM; Scheuch, DE; Ziegler, U; Lettow, J; Kampen, H; Werner, D; Groschup, MH""",German Culex pipiens biotype molestus and Culex torrentium are vector-competent for Usutu virus,10.1186/s13071-020-04532-1,Culex torrentium,,Germany,Usutu virus,,,,,
56,"""Woehnke, E; Vasic, A; Raileanu, C; Holicki, CM; Tews, BA; Silaghi, C""",Comparison of vector competence of Aedes vexans Green River and Culex pipiens biotype pipiens for West Nile virus lineages 1 and 2,10.1111/zph.12700,Culex pipiens,pipiens,Germany,West Nile virus,Lineage 1 (Magpie/Italy),,,,
57,"""Woehnke, E; Vasic, A; Raileanu, C; Holicki, CM; Tews, BA; Silaghi, C""",Comparison of vector competence of Aedes vexans Green River and Culex pipiens biotype pipiens for West Nile virus lineages 1 and 2,10.1111/zph.12700,Aedes vexans,,Germany,West Nile virus,Lineage 2 (Austria),,"Mosquitoes were laboratory-reared
",,
59,"""Woehnke, E; Vasic, A; Raileanu, C; Holicki, CM; Tews, BA; Silaghi, C""",Comparison of vector competence of Aedes vexans Green River and Culex pipiens biotype pipiens for West Nile virus lineages 1 and 2,10.1111/zph.12700,Aedes vexans,,Germany,West Nile virus,Lineage 2 (Austria),,"Mosquitos were laboratory-reared
",,
58,"""Woehnke, E; Vasic, A; Raileanu, C; Holicki, CM; Tews, BA; Silaghi, C""",Comparison of vector competence of Aedes vexans Green River and Culex pipiens biotype pipiens for West Nile virus lineages 1 and 2,10.1111/zph.12700,Culex pipiens,pipiens,Germany,West Nile virus,Lineage 1 (Magpie/Italy),,,,
64,"""Holicki, CM; Ziegler, U; Raileanu, C; Kampen, H; Werner, D; Schulz, J; Silaghi, C; Groschup, MH; Vasic, A""",West Nile Virus Lineage 2 Vector Competence of Indigenous Culex and Aedes Mosquitoes from Germany at Temperate Climate Conditions,10.3390/v12050561,Culex pipiens,pipiens,Germany,West Nile virus,Lineage 2,,,,
65,"""Holicki, CM; Ziegler, U; Raileanu, C; Kampen, H; Werner, D; Schulz, J; Silaghi, C; Groschup, MH; Vasic, A""",West Nile Virus Lineage 2 Vector Competence of Indigenous Culex and Aedes Mosquitoes from Germany at Temperate Climate Conditions,10.3390/v12050561,Culex pipiens,molestus,Germany,West Nile virus,Lineage 2,,,,
66,"""Holicki, CM; Ziegler, U; Raileanu, C; Kampen, H; Werner, D; Schulz, J; Silaghi, C; Groschup, MH; Vasic, A""",West Nile Virus Lineage 2 Vector Competence of Indigenous Culex and Aedes Mosquitoes from Germany at Temperate Climate Conditions,10.3390/v12050561,Aedes albopictus,,Germany,West Nile virus,Lineage 2,,,,
68,"""Holicki, CM; Ziegler, U; Raileanu, C; Kampen, H; Werner, D; Schulz, J; Silaghi, C; Groschup, MH; Vasic, A""",West Nile Virus Lineage 2 Vector Competence of Indigenous Culex and Aedes Mosquitoes from Germany at Temperate Climate Conditions,10.3390/v12050561,Culex pipiens,pipiens,Germany,West Nile virus,Lineage 2,,"Field collected mosquitoes
",,
93,"""Abbo, SR; Visser, TM; Wang, HD; Goertz, GP; Fros, JJ; Abma-Henkens, MHC; Geertsema, C; Vogels, CBF; Koopmans, MPG; Reusken, CBEM; Hall-Mendelin, S; Hall, RA; van Oers, MM; Koenraadt, CJM; Pijlman, GP""",The invasive Asian bush mosquito Aedes japonicus found in the Netherlands can experimentally transmit Zika virus and Usutu virus,10.1371/journal.pntd.0008217,Aedes aegypti,,Germany,Zika virus,American lineage (Suriname),,,,
162,"""Mohlmann, TWR; Oymans, J; Schreur, PJW; Koenraadt, CJM; Kortekaas, J; Vogels, CBF""",Vector competence of biting midges and mosquitoes for Shuni virus,10.1371/journal.pntd.0006609,Aedes aegypti,,Germany,Shuni virus,An10107,,,,
168,"""Mohlmann, TWR; Oymans, J; Schreur, PJW; Koenraadt, CJM; Kortekaas, J; Vogels, CBF""",Vector competence of biting midges and mosquitoes for Shuni virus,10.1371/journal.pntd.0006993,Aedes aegypti,,Germany,Shuni virus,strain An10107,,,,
171,"""Jansen, S; Heitmann, A; Luhken, R; Jost, H; Helms, M; Vapalahti, O; Schmidt-Chanasit, J; Tannich, E""",Experimental transmission of Zika virus by Aedes japonicus japonicus from southwestern Germany,10.1038/s41426-018-0195-x,Aedes japonicus,,Germany,Japanese encephalitis virus,SA-14 strain,,,,
172,"""Jansen, S; Heitmann, A; Luhken, R; Jost, H; Helms, M; Vapalahti, O; Schmidt-Chanasit, J; Tannich, E""",Experimental transmission of Zika virus by Aedes japonicus japonicus from southwestern Germany,10.1038/s41426-018-0195-x,Aedes japonicus,,Germany,Zika virus,Asian lineage (FB-GWUH-2016),,,,
192,"""Heitmann, A; Jansen, S; Luhken, R; Leggewie, M; Schmidt-Chanasit, J; Tannich, E""",Forced Salivation As a Method to Analyze Vector Competence of Mosquitoes,10.3791/57980,Aedes aegypti,,Germany,Zika virus,,,,,
193,"""Heitmann, A; Jansen, S; Luhken, R; Leggewie, M; Schmidt-Chanasit, J; Tannich, E""",Forced Salivation As a Method to Analyze Vector Competence of Mosquitoes,10.3791/57980,Culex pipiens,molestus,Germany,Zika virus,,,,,
194,"""Heitmann, A; Jansen, S; Luhken, R; Leggewie, M; Schmidt-Chanasit, J; Tannich, E""",Forced Salivation As a Method to Analyze Vector Competence of Mosquitoes,10.3791/57980,Culex torrentium,,Germany,Zika virus,,,,,
195,"""Heitmann, A; Jansen, S; Luhken, R; Leggewie, M; Schmidt-Chanasit, J; Tannich, E""",Forced Salivation As a Method to Analyze Vector Competence of Mosquitoes,10.3791/57980,Aedes albopictus,,Germany,Zika virus,,,,,
197,"""Heitmann, A; Jansen, S; Luhken, R; Helms, M; Pluskota, B; Becker, N; Kuhn, C; Schmidt-Chanasit, J; Tannich, E""","Experimental risk assessment for chikungunya virus transmission based on vector competence, distribution and temperature suitability in Europe, 2018",10.2807/1560-7917.ES.2018.23.29.1800033,Aedes albopictus,,Germany,Chikungunya virus,strain CNR_24/2014,,,,
300,"""Heitmann, A; Jansen, S; Luhken, R; Leggewie, M; Badusche, M; Pluskota, B; Becker, N; Vapalahti, O; Schmidt-Chanasit, J; Tannich, E""",Experimental transmission of Zika virus by mosquitoes from central Europe,10.2807/1560-7917.ES.2017.22.2.30437,Aedes aegypti,,Germany,Zika virus,Asian lineage (ZIKV_FB-GWUH-2016),,,,
301,"""Heitmann, A; Jansen, S; Luhken, R; Leggewie, M; Badusche, M; Pluskota, B; Becker, N; Vapalahti, O; Schmidt-Chanasit, J; Tannich, E""",Experimental transmission of Zika virus by mosquitoes from central Europe,10.2807/1560-7917.ES.2017.22.2.30437,Culex pipiens,molestus,Germany,Zika virus,Asian lineage (ZIKV_FB-GWUH-2016),,,,
302,"""Heitmann, A; Jansen, S; Luhken, R; Leggewie, M; Badusche, M; Pluskota, B; Becker, N; Vapalahti, O; Schmidt-Chanasit, J; Tannich, E""",Experimental transmission of Zika virus by mosquitoes from central Europe,10.2807/1560-7917.ES.2017.22.2.30437,Culex pipiens,pipiens,Germany,Zika virus,Asian lineage (ZIKV_FB-GWUH-2016),,,,
303,"""Heitmann, A; Jansen, S; Luhken, R; Leggewie, M; Badusche, M; Pluskota, B; Becker, N; Vapalahti, O; Schmidt-Chanasit, J; Tannich, E""",Experimental transmission of Zika virus by mosquitoes from central Europe,10.2807/1560-7917.ES.2017.22.2.30437,Culex torrentium,,Germany,Zika virus,Asian lineage (ZIKV_FB-GWUH-2016),,,,
304,"""Heitmann, A; Jansen, S; Luhken, R; Leggewie, M; Badusche, M; Pluskota, B; Becker, N; Vapalahti, O; Schmidt-Chanasit, J; Tannich, E""",Experimental transmission of Zika virus by mosquitoes from central Europe,10.2807/1560-7917.ES.2017.22.2.30437,Aedes albopictus,,Germany,Zika virus,Asian lineage (ZIKV_FB-GWUH-2016),,,,
441,"""Huber, K; Jansen, S; Leggewie, M; Badusche, M; Schmidt-Chanasit, J; Becker, N; Tannich, E; Becker, SC""",Aedes japonicus japonicus (Diptera: Culicidae) from Germany have vector competence for Japan encephalitis virus but are refractory to infection with West Nile virus,10.1007/s00436-014-3983-9,Aedes japonicus,japonicus,Germany,West Nile virus,Lineage 1 (NY99),,,,
442,"""Huber, K; Jansen, S; Leggewie, M; Badusche, M; Schmidt-Chanasit, J; Becker, N; Tannich, E; Becker, SC""",Aedes japonicus japonicus (Diptera: Culicidae) from Germany have vector competence for Japan encephalitis virus but are refractory to infection with West Nile virus,10.1007/s00436-014-3983-9,Aedes japonicus,japonicus,Germany,Japanese encephalitis virus,,,,,
904,"""Modlmaier, M; Kuhn, R; Kaaden, OR; Pfeffer, M""",Transmission studies of a European Sindbis virus in the floodwater mosquito Aedes vexans (Diptera : Culicidae),10.1016/S1438-4221(02)80031-5,Aedes vexans,,Germany,Karelian fever virus ,,,,,
728,"""Schneider, JR; Mori, A; Romero-Severson, J; Chadee, DD; Severson, DW""",Investigations of dengue-2 susceptibility and body size among Aedes aegypti populations,10.1111/j.1365-2915.2007.00699.x,Aedes aegypti,,Ghana,Dengue virus,DENV-2,DENV-2,,,
735,"""Mores, CN; Turell, MJ; Dohm, DJ; Blow, JA; Carranza, MT; Quintana, M""",Experimental transmission of West Nile virus by Culex nigripalpus from Honduras,10.1089/vbz.2006.0557,Culex nigripalpus,,Honduras,West Nile virus,Crow 397-99,,,,
824,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex pseudes,,Honduras,Venezuelan equine encephalitis virus, p676 (IC),,,,
823,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Ochlerotatus taeniorhynchus,,Honduras,Venezuelan equine encephalitis virus, p676 (IC),,,,
825,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex cancer,,Honduras,Venezuelan equine encephalitis virus, p676 (IC),,,,
826,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex taeniopus,,Honduras,Venezuelan equine encephalitis virus, p676 (IC),,,,
827,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex sp.,,Honduras,Venezuelan equine encephalitis virus, p676 (IC),,,,
833,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Ochlerotatus taeniorhynchus,,Honduras,Venezuelan equine encephalitis virus,Col 95-1289 (IC),,,,
834,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex pseudes,,Honduras,Venezuelan equine encephalitis virus,Col 95-1289 (IC),,,,
835,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex cancer,,Honduras,Venezuelan equine encephalitis virus,Col 95-1289 (IC),,,,
836,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex taeniopus,,Honduras,Venezuelan equine encephalitis virus,Col 95-1289 (IC),,,,
837,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex sp.,,Honduras,Venezuelan equine encephalitis virus,Col 95-1289 (IC),,,,
843,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Ochlerotatus taeniorhynchus,,Honduras,Venezuelan equine encephalitis virus,68U201 (IE),,,,
845,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex cancer,,Honduras,Venezuelan equine encephalitis virus,68U201 (IE),,,,
844,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex pseudes,,Honduras,Venezuelan equine encephalitis virus,68U201 (IE),,,,
846,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex taeniopus,,Honduras,Venezuelan equine encephalitis virus,68U201 (IE),,,,
847,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex sp.,,Honduras,Venezuelan equine encephalitis virus,68U201 (IE),,,,
853,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Ochlerotatus taeniorhynchus,,Honduras,Venezuelan equine encephalitis virus,93-42124 (IE),,,,
854,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex pseudes,,Honduras,Venezuelan equine encephalitis virus,93-42124 (IE),,,,
855,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex cancer,,Honduras,Venezuelan equine encephalitis virus,93-42124 (IE),,,,
856,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex taeniopus,,Honduras,Venezuelan equine encephalitis virus,93-42124 (IE),,,,
857,"""Turell, MJ; O'Guinn, ML; Navarro, R; Romero, G; Estrada-Franco, JG""",Vector competence of Mexican and Honduran mosquitoes (Diptera : culicidae) for enzootic (IE) and epizootic (IC) strains of Venezuelan equine encephalomyelitis virus,10.1603/0022-2585-40.3.306,Culex sp.,,Honduras,Venezuelan equine encephalitis virus,93-42124 (IE),,,,
